Cluster,Rank,Keyword
0,1,golf
0,2,sims
0,3,tony hawk
0,4,hawk
0,5,tony
0,6,tour
0,7,course
0,8,pga
0,9,pga tour
0,10,pro
0,11,tiger wood
0,12,skater
0,13,tiger
0,14,wood
0,15,new
0,16,wood pga
0,17,pro skater
0,18,play
0,19,trick
0,20,shot
1,1,game
1,2,mode
1,3,player
1,4,new
1,5,play
1,6,arcade
1,7,feature
1,8,multiplayer
1,9,friend
1,10,online
1,11,character
1,12,challenge
1,13,classic
1,14,xbox
1,15,level
1,16,including
1,17,live
1,18,battle
1,19,xbox live
1,20,single
2,1,man
2,2,spider man
2,3,spider
2,4,marvel
2,5,mega man
2,6,pac
2,7,mega
2,8,pac man
2,9,super
2,10,super hero
2,11,hero
2,12,new
2,13,game
2,14,villain
2,15,iron man
2,16,player
2,17,character
2,18,battle
2,19,power
2,20,comic
3,1,war
3,2,strategy
3,3,player
3,4,battle
3,5,mission
3,6,game
3,7,new
3,8,force
3,9,army
3,10,strategy game
3,11,combat
3,12,campaign
3,13,world
3,14,based
3,15,command
3,16,time
3,17,empire
3,18,battlefield
3,19,enemy
3,20,military
4,1,racing
4,2,car
4,3,race
4,4,track
4,5,speed
4,6,driver
4,7,racer
4,8,vehicle
4,9,mode
4,10,championship
4,11,world
4,12,rally
4,13,new
4,14,challenge
4,15,road
4,16,game
4,17,driving
4,18,player
4,19,experience
4,20,circuit
5,1,nba
5,2,player
5,3,new
5,4,nfl
5,5,team
5,6,football
5,7,play
5,8,league
5,9,sport
5,10,game
5,11,soccer
5,12,control
5,13,fifa
5,14,mode
5,15,baseball
5,16,nhl
5,17,feature
5,18,madden
5,19,gameplay
5,20,ball
6,1,new
6,2,action
6,3,battle
6,4,enemy
6,5,player
6,6,character
6,7,game
6,8,world
6,9,weapon
6,10,combat
6,11,fight
6,12,take
6,13,power
6,14,hero
6,15,unique
6,16,ability
6,17,adventure
6,18,attack
6,19,evil
6,20,powerful
7,1,person
7,2,first person
7,3,first
7,4,person shooter
7,5,shooter
7,6,third person
7,7,third
7,8,game
7,9,action
7,10,person action
7,11,player
7,12,world
7,13,horror
7,14,adventure
7,15,set
7,16,combat
7,17,story
7,18,take
7,19,enemy
7,20,experience
8,1,episode
8,2,final
8,3,final fantasy
8,4,star war
8,5,star
8,6,telltale
8,7,fantasy
8,8,walking dead
8,9,walking
8,10,war
8,11,dead
8,12,series
8,13,batman
8,14,game
8,15,story
8,16,new
8,17,season
8,18,telltale game
8,19,max
8,20,jedi
9,1,world
9,2,adventure
9,3,game
9,4,new
9,5,story
9,6,puzzle
9,7,life
9,8,find
9,9,take
9,10,one
9,11,set
9,12,time
9,13,journey
9,14,explore
9,15,player
9,16,dark
9,17,must
9,18,way
9,19,city
9,20,mysterious
