Cluster,Number_of_Games,Top_Keywords
0,273,"golf, sims, tony hawk, hawk, tony, tour, course, pga, pga tour, pro"
1,2658,"game, mode, player, new, play, arcade, feature, multiplayer, friend, online"
2,297,"man, spider man, spider, marvel, mega man, pac, mega, pac man, super, super hero"
3,1686,"war, strategy, player, battle, mission, game, new, force, army, strategy game"
4,1042,"racing, car, race, track, speed, driver, racer, vehicle, mode, championship"
5,982,"nba, player, new, nfl, team, football, play, league, sport, game"
6,3719,"new, action, battle, enemy, player, character, game, world, weapon, combat"
7,719,"person, first person, first, person shooter, shooter, third person, third, game, action, person action"
8,584,"episode, final, final fantasy, star war, star, telltale, fantasy, walking dead, walking, war"
9,6839,"world, adventure, game, new, story, puzzle, life, find, take, one"
