athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Michael Phelps,23.0,United States,2008,24/08/2008,Swimming,8,0,0,8,Michael Phelps 23.0 United States 24/08/2008 Swimming,michael phelps united state swimming,0
Michael Phelps,19.0,United States,2004,29/08/2004,Swimming,6,0,2,8,Michael Phelps 19.0 United States 29/08/2004 Swimming,michael phelps united state swimming,0
Michael Phelps,27.0,United States,2012,12/8/2012,Swimming,4,2,0,6,Michael Phelps 27.0 United States 12/8/2012 Swimming,michael phelps united state swimming,0
Natalie Coughlin,25.0,United States,2008,24/08/2008,Swimming,1,2,3,6,Natalie Coughlin 25.0 United States 24/08/2008 Swimming,natalie coughlin united state swimming,0
Aleksey Nemov,24.0,Russia,2000,1/10/2000,Gymnastics,2,1,3,6,Aleksey Nemov 24.0 Russia 1/10/2000 Gymnastics,aleksey nemov russia gymnastics,1
Alicia Coutts,24.0,Australia,2012,12/8/2012,Swimming,1,3,1,5,Alicia Coutts 24.0 Australia 12/8/2012 Swimming,alicia coutts australia swimming,1
Missy Franklin,17.0,United States,2012,12/8/2012,Swimming,4,0,1,5,Missy Franklin 17.0 United States 12/8/2012 Swimming,missy franklin united state swimming,0
Ryan Lochte,27.0,United States,2012,12/8/2012,Swimming,2,2,1,5,Ryan Lochte 27.0 United States 12/8/2012 Swimming,ryan lochte united state swimming,0
Allison Schmitt,22.0,United States,2012,12/8/2012,Swimming,3,1,1,5,Allison Schmitt 22.0 United States 12/8/2012 Swimming,allison schmitt united state swimming,0
Natalie Coughlin,21.0,United States,2004,29/08/2004,Swimming,2,2,1,5,Natalie Coughlin 21.0 United States 29/08/2004 Swimming,natalie coughlin united state swimming,0
Ian Thorpe,17.0,Australia,2000,1/10/2000,Swimming,3,2,0,5,Ian Thorpe 17.0 Australia 1/10/2000 Swimming,ian thorpe australia swimming,1
Dara Torres,33.0,United States,2000,1/10/2000,Swimming,2,0,3,5,Dara Torres 33.0 United States 1/10/2000 Swimming,dara torres united state swimming,0
Cindy Klassen,26.0,Canada,2006,26/02/2006,Speed Skating,1,2,2,5,Cindy Klassen 26.0 Canada 26/02/2006 Speed Skating,cindy klassen canada speed skating,1
Nastia Liukin,18.0,United States,2008,24/08/2008,Gymnastics,1,3,1,5,Nastia Liukin 18.0 United States 24/08/2008 Gymnastics,nastia liukin united state gymnastics,0
Marit Bjørgen,29.0,Norway,2010,28/02/2010,Cross Country Skiing,3,1,1,5,Marit Bjørgen 29.0 Norway 28/02/2010 Cross Country Skiing,marit rgen norway cross country skiing,1
Sun Yang,20.0,China,2012,12/8/2012,Swimming,2,1,1,4,Sun Yang 20.0 China 12/8/2012 Swimming,sun yang china swimming,1
Kirsty Coventry,24.0,Zimbabwe,2008,24/08/2008,Swimming,1,3,0,4,Kirsty Coventry 24.0 Zimbabwe 24/08/2008 Swimming,kirsty coventry zimbabwe swimming,1
Libby Lenton-Trickett,23.0,Australia,2008,24/08/2008,Swimming,2,1,1,4,Libby Lenton-Trickett 23.0 Australia 24/08/2008 Swimming,libby lenton trickett australia swimming,1
Ryan Lochte,24.0,United States,2008,24/08/2008,Swimming,2,0,2,4,Ryan Lochte 24.0 United States 24/08/2008 Swimming,ryan lochte united state swimming,0
Inge de Bruijn,30.0,Netherlands,2004,29/08/2004,Swimming,1,1,2,4,Inge de Bruijn 30.0 Netherlands 29/08/2004 Swimming,inge bruijn netherlands swimming,1
Petria Thomas,28.0,Australia,2004,29/08/2004,Swimming,3,1,0,4,Petria Thomas 28.0 Australia 29/08/2004 Swimming,petria thomas australia swimming,1
Ian Thorpe,21.0,Australia,2004,29/08/2004,Swimming,2,1,1,4,Ian Thorpe 21.0 Australia 29/08/2004 Swimming,ian thorpe australia swimming,1
Inge de Bruijn,27.0,Netherlands,2000,1/10/2000,Swimming,3,1,0,4,Inge de Bruijn 27.0 Netherlands 1/10/2000 Swimming,inge bruijn netherlands swimming,1
Gary Hall Jr.,25.0,United States,2000,1/10/2000,Swimming,2,1,1,4,Gary Hall Jr. 25.0 United States 1/10/2000 Swimming,gary hall united state swimming,0
Michael Klim,23.0,Australia,2000,1/10/2000,Swimming,2,2,0,4,Michael Klim 23.0 Australia 1/10/2000 Swimming,michael klim australia swimming,1
Susie O'Neill,27.0,Australia,2000,1/10/2000,Swimming,1,3,0,4,Susie O'Neill 27.0 Australia 1/10/2000 Swimming,susie neill australia swimming,1
Jenny Thompson,27.0,United States,2000,1/10/2000,Swimming,3,0,1,4,Jenny Thompson 27.0 United States 1/10/2000 Swimming,jenny thompson united state swimming,0
Pieter van den Hoogenband,22.0,Netherlands,2000,1/10/2000,Swimming,2,0,2,4,Pieter van den Hoogenband 22.0 Netherlands 1/10/2000 Swimming,pieter van den hoogenband netherlands swimming,1
