mission,company,location,date,time,rocket,price,successful,original_text,clean_text,cluster,PCA_1,PCA_2,cluster_label
CRS SpX-25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-07-15,0:44:00,Falcon 9 Block 5,12480000,True,CRS SpX-25,crs spx,6,-0.10144471462134604,-0.051258163691873464,crs / gsat / apollo
LARES 2 & Cubesats,ESA,"ELV-1, Guiana Space Centre, French Guiana, France",2022-07-13,13:13:00,Vega C,4470000,True,LARES 2 & Cubesats,lares cubesats,6,-0.08783348880228281,-0.03315208146924834,crs / gsat / apollo
Wise One Looks Ahead (NROL-162),Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-07-13,6:30:00,Electron/Curie,9750000,True,Wise One Looks Ahead (NROL-162),wise one looks ahead nrol,6,-0.08927054707251422,-0.034569573793227025,crs / gsat / apollo
TROPICS Flight 1,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",2022-07-12,17:43:00,Rocket 3,3670000,False,TROPICS Flight 1,tropics flight,6,-0.08942506623336864,-0.03470448317759712,crs / gsat / apollo
Starlink Group 3-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-07-11,1:39:00,Falcon 9 Block 5,11590000,True,Starlink Group 3-1,starlink group,4,-0.12029150234464368,-0.09475304497510524,starlink / starlink group / group
Starlink Group 4-21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-07-07,13:11:00,Falcon 9 Block 5,2330000,False,Starlink Group 4-21,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
"DS-EO, NeuSAR, SCOOB-I & POEM",ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2022-06-30,12:32:00,PSLV-CA,21050000,True,"DS-EO, NeuSAR, SCOOB-I & POEM",dseo neusar scoobi poem,6,-0.08748149034646797,-0.03283651036621305,crs / gsat / apollo
SES-22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-29,21:04:00,Falcon 9 Block 5,16350000,True,SES-22,ses,6,-0.09300305358238405,-0.03818291332070852,crs / gsat / apollo
CAPSTONE,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2022-06-28,9:55:00,Electron/Photon,3630000,True,CAPSTONE,capstone,6,-0.0874814903464691,-0.03283651036638082,crs / gsat / apollo
Measat-3d & GSAT-24,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2022-06-22,21:50:00,Ariane 5 ECA,1020000,True,Measat-3d & GSAT-24,measat d gsat,6,-0.09431558642025085,-0.04015526544886211,crs / gsat / apollo
Globalstar FM15 & USA 328 to 331,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-19,4:27:00,Falcon 9 Block 5,24900000,True,Globalstar FM15 & USA 328 to 331,globalstar fm usa to,6,-0.09294218775972253,-0.03936133243257683,crs / gsat / apollo
SARah 1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-06-18,14:19:00,Falcon 9 Block 5,19560000,True,SARah 1,sarah,6,-0.08748149034646957,-0.03283651036659026,crs / gsat / apollo
Starlink Group 4-19,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-06-17,16:09:00,Falcon 9 Block 5,23140000,True,Starlink Group 4-19,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Nilesat-301,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-08,21:04:00,Falcon 9 Block 5,19220000,True,Nilesat-301,nilesat,6,-0.08869274391639106,-0.0339213854912321,crs / gsat / apollo
Progress MS-20,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-06-03,9:32:00,Soyuz 2.1a,12620000,True,Progress MS-20,progress ms,6,-0.10953845686380043,-0.06277336541434132,crs / gsat / apollo
Transporter 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-05-25,18:35:00,Falcon 9 Block 5,16680000,True,Transporter 5,transporter,6,-0.09044199724634253,-0.03560488603923416,crs / gsat / apollo
Starlink Group 4-18,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-05-18,10:59:00,Falcon 9 Block 5,2250000,True,Starlink Group 4-18,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
Starlink Group 4-15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-05-14,20:40:00,Falcon 9 Block 5,24470000,True,Starlink Group 4-15,starlink group,4,-0.12029150234464368,-0.09475304497510528,starlink / starlink group / group
